iteration_number,window_number,acc_x_vals,acc_y_vals,acc_z_vals,gyro_x_vals,gyro_y_vals,gyro_z_vals,activity_name
1,4,"[1.864, 17.345, 9.513, 13.889, 11.879, 3.346, 3.99, 8.819, 10.098]","[-4.894, -11.149, -3.37, -5.936, -8.704, -1.739, -0.571, -0.602, -2.23]","[0.155, 3.168, 1.034, 2.459, 2.448, 2.651, 8.284, 10.313, 12.6]","[-0.278, -0.745, -0.404, -0.057, 0.423, 0.953, -1.594, -1.914, 1.738]","[0.303, -1.102, 0.323, 0.489, 3.012, 1.97, -0.707, -2.075, 0.548]","[-0.269, 4.456, 1.235, -2.131, -2.96, -0.849, 0.241, 0.88, -0.799]",Walking
1,5,"[3.832, 8.723, 13.781, 15.29, 7.3, 0.498, 4.294, 13.228, 6.869]","[-3.332, -10.448, -4.168, -6.812, -10.905, -4.178, -7.171, -3.066, -8.697]","[2.845, 7.834, 3.056, 4.383, 2.74, 2.361, 2.237, 9.168, 6.426]","[1.649, -3.831, -1.033, 1.216, 2.032, -0.711, -3.551, 0.112, 3.354]","[-0.053, -1.504, -0.73, -0.801, 1.396, 0.927, -0.596, 0.531, 1.912]","[0.138, 0.839, 2.231, -1.512, -3.133, -0.985, 1.304, 0.288, -2.682]",Walking
1,6,"[2.697, 4.615, 16.54, 13.12, 4.682, 2.98, 11.429, 14.83, 8.433]","[-5.121, -4.496, -4.592, -7.789, -7.897, -3.768, -6.867, -2.348, -10.402]","[3.858, 4.843, 12.598, 10.428, 2.747, 6.72, 11.532, 10.926, 9.791]","[0.207, -2.225, -1.76, 1.864, 1.928, -1.709, -2.393, 1.156, 2.335]","[0.779, -1.129, -0.556, -2.22, 2.575, -0.765, -3.135, -1.268, 2.664]","[-0.885, 1.987, 2.038, -2.74, -2.151, 0.423, 3.05, -0.901, -2.934]",Walking
1,7,"[3.885, 2.493, 21.242, 9.942, 0.702, 11.762, 15.522, 8.56, 1.528]","[-3.835, -2.535, -1.28, -6.146, -9.142, -6.575, -3.323, -11.918, -8.393]","[2.783, 4.862, 11.458, 4.962, 1.578, 2.792, 6.09, 9.93, -0.957]","[-0.584, -2.157, -0.185, 2.094, -2.211, -1.199, 0.395, 3.037, 0.92]","[-0.08, -2.259, -2.016, -1.145, 0.731, -1.004, -1.0, 1.546, -0.596]","[-1.306, 0.875, 2.088, -2.593, -0.635, 3.116, -0.781, -3.413, -0.048]",Walking
1,1,"[-1.105, -1.005, -1.016, -0.497, -1.512, 1.861, 7.006, 14.303, 1.14]","[5.172, 5.061, 5.349, 5.739, 4.566, 5.634, 1.304, 4.57, -1.064]","[9.611, 7.537, 8.433, 8.332, 5.504, 13.654, 4.201, 30.812, 0.941]","[0.146, 0.065, -0.23, -0.077, -0.236, -0.726, -1.106, -1.829, 2.329]","[-0.14, 0.009, 0.225, 0.107, -0.085, -2.413, -0.648, -2.235, 0.639]","[0.039, -0.146, 0.099, 0.162, 0.139, 0.778, 0.226, 0.705, -0.252]",Walking Upstairs
1,2,"[-0.341, -5.486, 51.285, 10.292, 69.427, 47.335, 32.881, 8.153, 30.688]","[5.794, -23.486, 6.371, -55.92, -4.635, -57.246, -25.975, -9.377, -25.979]","[0.582, 4.943, 5.247, 4.845, 17.069, 13.074, -5.014, -1.513, 17.378]","[-1.35, -2.106, 0.732, 3.427, -1.848, 6.05, -1.902, 0.846, 5.452]","[-1.166, -0.042, -1.958, -3.38, 0.298, -3.395, 1.008, 1.497, -4.517]","[1.547, 1.028, 4.812, -9.895, 8.563, -10.066, 11.611, -3.281, -2.905]",Walking Upstairs
1,3,"[-0.835, 16.236, 17.448, 33.123, -8.036, 23.445, 16.007, 29.708, 24.101]","[-8.798, -10.39, 4.254, -18.054, -7.042, -34.875, 20.128, -41.437, -44.519]","[-0.684, -0.271, -3.975, 1.662, -1.206, -5.956, 15.927, 4.249, 0.726]","[4.394, 0.469, 0.496, 1.394, 0.893, -3.465, -1.377, 1.645, -2.272]","[1.1, -0.37, -0.742, 0.847, 0.333, 0.682, -0.82, -1.334, 0.093]","[-2.913, 5.132, 0.713, -6.385, -2.31, 9.085, 0.487, -9.092, 11.037]",Walking Upstairs
1,4,"[26.08, -37.869, 36.404, 30.656, 3.36, 44.38, -14.69, 54.496, 12.864]","[11.459, -41.298, 9.71, -47.058, -36.654, 8.393, -40.453, -41.921, 11.585]","[1.42, -6.128, -17.009, 0.706, -3.561, 8.394, 6.586, -13.141, 2.088]","[-0.692, -1.257, 3.292, 2.735, -2.297, -0.018, -0.861, 1.509, -0.872]","[0.72, 1.245, -2.58, -2.17, -0.225, -1.823, -0.481, -0.669, 0.866]","[-2.964, -7.263, 4.376, -9.917, 8.254, -0.311, -7.356, 10.482, -1.404]",Walking Upstairs
1,5,"[40.941, -1.163, -0.176, -0.926, -1.984, 43.822, 14.825, -13.195, 74.239]","[-66.858, -0.501, 4.556, 3.028, -2.951, -4.247, 16.857, -50.868, -48.689]","[-11.174, -2.878, 16.894, 5.671, 0.979, -4.107, 13.223, -3.424, 2.653]","[5.32, -1.542, -1.418, 0.517, 2.26, 1.505, 3.447, 1.5, 0.503]","[5.091, 2.611, -0.27, 0.438, -4.086, -4.375, -2.143, -0.505, 0.001]","[-11.338, 0.615, 0.457, 0.983, 3.184, 3.548, 0.66, -9.69, 12.655]",Walking Upstairs
1,6,"[26.623, -32.054, 21.055, 1.67, -0.978, -0.372, -0.337, -6.482, 11.283]","[-5.55, -26.755, 3.773, 0.633, 3.409, 4.803, 4.604, -9.832, -18.933]","[7.997, 3.494, 23.476, 5.35, 7.664, 7.717, 8.687, -7.156, 1.796]","[2.041, -0.842, -1.498, 1.256, 0.029, 0.132, 0.115, -0.046, 3.599]","[-1.789, 1.68, 7.182, 1.565, 0.58, 0.158, 0.199, -7.511, 3.864]","[-5.233, -3.922, -0.538, 0.376, 0.24, 0.436, 0.292, 4.616, -6.067]",Walking Upstairs
1,7,"[45.941, -16.275, 19.326, 17.046, -1.398, 63.619, -27.367, 51.613, -3.814]","[29.488, -21.716, -1.656, -14.023, -23.716, 19.094, -27.833, 5.588, -1.162]","[34.749, -16.618, 21.476, 14.645, 1.375, 11.711, -0.302, 23.478, -0.945]","[-0.282, -0.514, 3.037, -4.524, 3.981, -1.837, 0.759, -0.625, 1.009]","[-0.582, -0.748, 3.351, -4.755, -2.75, 1.36, -3.977, 2.799, -0.133]","[2.926, 2.935, -4.994, 7.44, -5.6, 5.152, -4.161, -0.202, -0.0]",Walking Upstairs
2,1,"[-1.199, 0.75, -0.454, 1.653, 2.125, -0.878, 3.605, 4.941, 2.807]","[4.137, 5.114, 6.709, 3.905, 4.803, 5.143, 6.661, 5.797, 7.739]","[8.174, 6.533, 6.447, 9.97, 8.282, 9.872, 11.206, 8.797, 6.986]","[0.292, 0.701, 0.214, 0.151, -0.488, 0.059, -0.214, 0.522, 0.728]","[-0.29, -0.271, -0.268, -0.028, 0.018, 0.296, -0.798, -0.261, -0.039]","[0.12, 0.167, 0.023, 0.293, 0.102, 0.239, 0.308, -0.212, -0.285]",Sitting
2,2,"[-3.266, -1.814, -1.268, 3.722, 0.594, 0.922, -0.552, 0.343, 0.004]","[6.862, 8.18, 8.146, 7.751, 4.266, 4.151, 5.706, 5.761, 5.653]","[3.626, 2.673, 6.699, 6.658, 14.703, 8.452, 8.033, 8.248, 7.817]","[-0.229, 0.306, -0.471, -1.014, -1.133, -0.321, 0.537, -0.48, 0.131]","[0.273, 0.997, -0.347, -0.394, -0.337, -0.777, 0.215, -0.342, -0.03]","[-0.812, -0.874, 0.001, -0.312, 0.897, 0.009, -0.054, 0.38, -0.038]",Sitting
2,3,"[0.256, 0.087, 0.266, 0.162, 0.295, 0.395, 0.328, 0.283, 0.628]","[5.646, 5.892, 5.763, 5.964, 5.797, 5.773, 5.684, 5.897, 5.694]","[7.829, 8.22, 7.908, 8.442, 7.884, 8.33, 8.361, 8.445, 7.834]","[0.042, 0.004, 0.029, -0.112, 0.052, -0.007, -0.005, -0.04, -0.055]","[0.074, -0.001, 0.012, -0.213, 0.104, 0.016, 0.053, -0.135, -0.077]","[-0.083, -0.053, -0.009, 0.055, -0.042, -0.019, -0.038, 0.031, -0.069]",Sitting
2,4,"[0.623, 0.443, 0.68, 0.063, -5.392, -2.037, -1.091, -2.372, -2.542]","[5.801, 5.78, 5.876, 6.194, 1.696, 4.209, 6.106, 4.963, 6.024]","[7.367, 7.98, 8.078, 9.18, 8.464, 6.682, 5.796, 8.78, 8.56]","[0.086, 0.017, -0.003, 0.047, -0.755, 0.663, 0.113, -0.044, -0.316]","[0.071, 0.02, -0.024, -0.14, 0.556, 0.946, 0.443, 0.303, 0.283]","[-0.043, -0.023, 0.015, 0.007, -2.594, -0.174, 0.197, -0.066, -0.281]",Sitting
2,5,"[-0.679, -1.445, -1.608, -2.051, -1.733, -1.644, -1.524, -2.324, -2.03]","[6.386, 6.292, 6.319, 6.46, 6.043, 6.592, 6.491, 5.857, 5.907]","[7.848, 8.073, 7.539, 8.852, 7.058, 7.182, 7.238, 7.65, 7.645]","[-0.151, -0.096, -0.019, 0.076, 0.036, 0.012, -0.067, -0.184, 0.043]","[-0.139, 0.029, 0.02, -0.022, 0.232, 0.03, -0.035, 0.109, -0.208]","[0.114, -0.066, 0.109, 0.221, -0.047, 0.03, -0.085, -0.219, -0.043]",Sitting
2,6,"[-1.512, -2.049, -1.563, -1.342, -1.524, -1.855, -1.481, -2.054, -1.489]","[6.206, 5.785, 6.463, 5.718, 5.452, 5.964, 6.065, 5.43, 5.684]","[7.745, 7.252, 7.745, 7.901, 7.956, 7.638, 7.448, 8.619, 7.954]","[0.142, -0.181, -0.177, -0.013, 0.023, -0.016, -0.022, -0.095, 0.032]","[-0.171, 0.065, 0.056, 0.099, -0.027, -0.064, 0.266, -0.072, -0.103]","[0.238, -0.001, -0.114, 0.05, -0.003, 0.043, 0.268, -0.081, 0.024]",Sitting
2,7,"[-1.898, -1.383, -1.465, -1.424, -1.328, -1.184, -0.959, -1.199, -1.033]","[5.526, 5.761, 5.653, 5.619, 5.706, 5.615, 5.933, 5.596, 5.643]","[8.119, 7.829, 7.958, 7.987, 8.149, 8.16, 8.081, 7.841, 7.954]","[-0.016, 0.04, -0.027, -0.017, -0.008, -0.005, 0.023, 0.016, 0.015]","[-0.062, 0.015, -0.023, -0.029, -0.024, -0.055, -0.073, -0.06, -0.061]","[-0.007, 0.028, 0.014, 0.004, 0.008, -0.005, 0.034, 0.027, 0.02]",Sitting
2,1,"[-1.771, -1.867, -3.627, -1.237, -0.713, 16.392, 13.185, 18.693, 14.672]","[6.649, 6.839, 5.275, 8.024, 4.204, -11.2, -6.891, -2.381, -12.613]","[6.62, 7.101, 5.216, 9.326, 4.481, -1.379, 1.786, 3.154, 2.498]","[-0.043, -0.14, -0.166, -0.674, 0.86, 0.086, -1.564, -0.376, 2.748]","[-0.359, 0.047, -0.099, -0.159, -0.261, -4.361, -0.651, 0.133, -1.466]","[0.12, 0.068, 0.368, 0.43, 0.6, 4.029, 4.078, 1.201, -3.344]",Walking
