iteration_number,window_number,acc_x_vals,acc_y_vals,acc_z_vals,gyro_x_vals,gyro_y_vals,gyro_z_vals,activity_name
2,7,"[-2.42, -0.547, 0.429, 0.066, -3.833, -2.32, -0.351, -3.299, -1.982]","[3.529, 3.639, 5.356, 4.427, 5.861, 1.33, 5.687, 2.882, 4.427]","[8.442, 6.483, 8.488, 8.461, 11.357, 6.296, 7.848, 5.882, 7.896]","[1.547, -0.072, -0.804, -0.674, -0.56, 0.485, -0.896, 0.705, 0.226]","[0.003, -0.155, 1.373, 0.926, 1.327, 0.347, 0.037, -0.411, -0.829]","[0.595, 1.278, 1.212, 1.093, 0.445, 0.572, 1.103, 0.075, -0.201]",Walking Upstairs
3,1,"[-2.444, 0.008, -1.062, -2.154, -1.534, -0.571, -0.562, -0.892, -1.663]","[4.211, 4.18, 5.167, 5.967, 5.924, 6.338, 6.793, 7.373, 6.958]","[7.923, 9.934, 7.851, 8.945, 7.69, 7.987, 6.756, 6.929, 7.939]","[-0.392, 0.23, 0.205, 0.465, 0.303, 0.033, 0.127, -0.117, 0.319]","[-0.327, -0.5, -0.255, -0.18, 0.136, 0.09, 0.187, 0.051, 0.502]","[0.144, -0.721, -0.441, -0.092, 0.604, 0.367, 0.056, 0.048, 0.374]",Sitting
3,2,"[0.963, -1.352, -0.863, -1.362, -1.637, -1.594, -2.648, -0.811, -1.891]","[6.678, 6.839, 7.219, 7.054, 6.724, 7.413, 6.017, 7.231, 4.063]","[6.61, 6.742, 6.809, 6.953, 5.722, 6.457, 7.379, 7.602, 9.297]","[-0.143, -0.209, -0.038, -0.109, -0.239, -0.58, -0.233, -0.084, -0.351]","[0.993, -0.025, -0.012, -0.005, 0.025, -0.399, 0.387, 0.043, 0.833]","[0.049, 0.16, -0.017, -0.007, 0.21, -0.072, 0.566, 0.741, 0.448]",Sitting
3,3,"[-0.018, -1.987, -3.038, -2.188, -0.332, -0.351, -0.868, -2.609, -1.697]","[4.997, 4.805, 3.569, 3.311, 3.732, 4.75, 5.433, 5.327, 4.812]","[7.81, 5.808, 10.533, 9.312, 9.858, 9.853, 9.4, 9.815, 10.782]","[-0.233, -0.465, -0.58, -0.154, 0.014, 0.023, -0.165, 0.405, -0.248]","[0.259, 0.901, 0.755, 0.688, 0.388, 0.71, 0.512, 0.546, 0.207]","[0.992, 1.358, 1.135, 0.99, 0.691, 0.448, 0.333, 0.404, 0.903]",Sitting
3,4,"[-2.779, -1.232, 0.09, 0.422, 3.703, -0.028, -1.34, -0.765, -0.722]","[5.212, 8.086, 7.6, 5.413, 6.846, 4.963, 5.766, 5.619, 5.622]","[5.47, 6.636, 6.363, 4.548, 12.88, 8.916, 6.73, 7.86, 8.021]","[-0.065, 0.047, 0.204, -0.745, -0.745, -0.465, -0.003, -0.019, 0.055]","[0.555, 0.063, -0.002, 0.303, 0.231, -0.25, -0.031, -0.009, 0.059]","[0.727, 0.091, 0.413, 0.293, -0.044, 0.141, -0.096, -0.013, 0.038]",Sitting
3,5,"[-0.521, -0.689, -0.796, -0.744, -0.753, -0.732, -0.837, -0.818, -0.897]","[5.481, 5.564, 5.567, 5.516, 5.552, 5.562, 5.564, 5.586, 5.653]","[8.301, 8.234, 8.21, 8.258, 8.229, 8.21, 8.078, 8.198, 8.181]","[0.002, -0.011, 0.017, 0.014, -0.002, -0.01, 0.001, 0.002, 0.017]","[0.02, 0.022, 0.015, 0.004, -0.011, -0.005, -0.003, 0.0, 0.021]","[0.014, -0.017, -0.013, -0.018, -0.009, -0.014, -0.004, -0.007, -0.013]",Sitting
3,6,"[-0.887, -0.899, -0.832, -0.861, -0.971, -0.77, -0.974, -0.902, -1.021]","[5.619, 5.574, 5.526, 5.533, 5.579, 5.548, 5.629, 5.548, 5.636]","[8.093, 8.161, 8.205, 8.163, 8.332, 8.37, 8.156, 8.311, 8.014]","[-0.009, 0.003, 0.016, 0.024, 0.018, 0.011, 0.002, -0.024, -0.002]","[0.014, 0.005, -0.011, -0.013, -0.002, 0.004, -0.02, 0.009, 0.014]","[-0.009, -0.007, -0.019, -0.026, 0.002, -0.009, -0.002, 0.007, 0.01]",Sitting
3,7,"[-0.866, -1.053, -0.976, -1.065, -0.823, -2.698, -0.327, -0.317, -0.976]","[5.598, 5.603, 5.581, 5.718, 5.636, 6.68, 4.901, 5.636, 5.44]","[8.14, 8.258, 8.296, 7.997, 7.92, 6.66, 8.066, 8.163, 8.334]","[-0.038, 0.005, -0.015, 0.005, 0.025, -0.02, -0.084, -0.018, -0.087]","[-0.013, 0.004, -0.009, 0.005, 0.013, 0.104, -0.169, 0.038, 0.072]","[0.007, -0.016, -0.002, -0.01, -0.015, 0.016, 0.312, -0.082, -0.008]",Sitting
3,1,"[-1.28, -1.582, -4.197, -3.239, 5.092, 26.063, 13.084, 19.29, 5.451]","[7.844, 7.703, 4.527, 6.91, -6.333, -8.565, -2.683, -13.343, -9.298]","[5.52, 6.198, 3.365, 3.109, -0.823, 3.008, 0.757, 2.931, 0.306]","[-0.04, -0.067, 0.356, 0.045, 1.628, -2.891, -0.183, 0.303, 2.825]","[0.136, 0.022, -0.126, 0.479, -2.48, -0.403, 0.772, 1.204, -2.515]","[-0.007, -0.049, 0.118, 1.115, 3.615, 6.139, 1.515, -2.093, -4.69]",Walking
3,2,"[-0.686, 22.159, 13.163, 17.51, 4.62, 1.674, 15.97, 13.319, 15.532]","[-7.49, -9.485, -2.13, -14.907, -7.574, -6.786, -13.008, -3.339, -12.282]","[-2.054, 3.827, 3.985, 3.564, -0.497, -0.497, 2.965, 3.717, 4.102]","[-1.227, -4.165, -2.092, 1.717, 3.599, -0.869, -3.024, -0.593, 1.124]","[1.188, -1.032, 2.039, 1.857, -1.825, 0.023, -0.017, 1.546, 0.248]","[-1.059, 5.642, 2.391, -1.733, -4.23, -1.025, 5.348, 1.789, -2.086]",Walking
3,3,"[7.894, 1.389, 17.146, 11.609, 13.58, 9.556, 3.432, 9.856, 11.606]","[-9.715, -6.575, -13.738, -5.332, -9.518, -9.147, -6.062, -9.437, -10.594]","[0.874, -0.785, 4.124, 2.539, 2.483, 0.498, 3.221, -1.817, -3.082]","[2.374, -0.362, -2.143, -0.992, 0.33, 2.904, -1.317, -0.261, -0.132]","[-3.06, 0.42, 1.215, 1.546, 1.036, -4.083, 0.464, 1.27, 0.689]","[-3.929, -1.428, 5.044, 1.967, -1.273, -3.407, -2.374, 2.584, 5.146]",Walking
3,4,"[8.704, 9.93, 3.174, 10.591, 11.005, 13.908, 10.962, 4.51, 6.529]","[-7.538, -13.832, -8.453, -10.891, -9.102, -5.612, -12.136, -7.035, -8.378]","[-1.575, 3.422, 2.804, 2.783, 1.401, 1.676, 3.683, 1.142, 1.188]","[-0.033, 0.17, -0.673, -0.995, -0.572, 0.233, 0.042, 0.618, -0.667]","[1.459, -3.731, -0.397, 1.948, 0.539, 1.037, -1.124, -0.975, 0.925]","[-0.157, -2.675, -3.795, 2.888, 3.481, 0.875, -2.726, -3.49, 1.04]",Walking
3,5,"[11.662, 13.024, 11.884, 6.069, 3.219, 11.453, 12.984, 11.681, 7.367]","[-8.733, -5.234, -12.352, -8.323, -8.366, -9.226, -5.172, -10.539, -9.466]","[1.846, -1.637, 3.298, 0.778, -0.271, 2.733, 2.1, 2.955, 1.959]","[-1.551, 0.587, 0.196, 1.039, -0.614, -1.681, -0.537, 0.396, 1.363]","[-0.303, -0.21, 0.033, -2.277, 1.174, 0.163, 1.357, 0.131, -2.144]","[4.111, 2.198, -2.273, -3.573, -0.728, 4.288, 1.998, -2.125, -3.197]",Walking
3,6,"[2.335, 11.113, 12.861, 13.853, 8.088, 5.794, 4.673, 3.456, 4.021]","[-6.862, -10.117, -6.161, -9.43, -11.662, -3.658, 2.518, 2.204, 1.462]","[-0.096, 3.609, 0.57, 1.937, 2.11, -1.501, 11.755, 6.799, 12.198]","[-0.663, -1.973, -0.341, 0.769, 1.581, -0.167, -0.816, 0.204, -0.42]","[1.332, 1.059, 0.716, 0.032, -2.639, 0.499, 1.652, 0.002, 0.226]","[-1.515, 4.146, 2.385, -1.256, -3.933, -2.122, -2.256, -0.646, -1.009]",Walking
3,7,"[2.745, 12.418, 9.135, 9.805, 13.841, 3.432, 4.534, 13.199, 7.367]","[-3.476, -23.206, -5.016, -5.155, -12.136, -5.327, -8.12, -8.963, -5.207]","[-1.269, 6.184, -1.201, 4.33, 3.101, -0.012, -0.44, 12.66, 6.138]","[1.234, -3.129, 0.606, -1.167, 1.238, 2.381, -0.299, -4.495, -1.391]","[-3.273, 0.049, -0.054, 0.649, 1.286, -0.297, 0.588, 0.532, 0.58]","[0.175, 2.925, 2.828, -1.178, -3.132, -1.5, 0.5, 1.949, 0.348]",Walking
3,1,"[31.557, 9.434, -0.269, 0.159, -0.02, 5.336, 28.714, 7.7, 27.148]","[10.999, -14.809, 9.36, 2.86, 4.678, -3.291, 13.892, -6.072, 2.635]","[11.659, -2.291, 7.731, 2.433, 7.245, -1.187, 15.551, 0.129, -5.867]","[0.734, 2.85, -1.0, -0.552, 0.952, 2.304, -2.863, 2.442, 1.112]","[1.202, -0.272, -0.163, -1.079, -0.992, -0.772, 0.594, -0.473, -2.656]","[-0.677, -6.108, -0.215, 0.63, 0.046, -3.368, 5.6, -4.63, 5.486]",Walking Upstairs
3,2,"[14.263, 41.947, -3.527, 19.845, 43.247, -7.067, 49.79, 30.788, 4.948]","[8.116, -21.527, -16.603, 5.806, -7.713, -25.465, -26.09, 1.208, -28.049]","[15.194, 8.239, -6.224, 4.529, 3.154, -2.873, 4.067, 6.21, -5.699]","[-0.825, 2.905, -1.455, -1.18, 2.409, 0.03, -0.698, 3.114, 0.839]","[0.369, -0.444, -0.371, 0.392, 1.733, 0.598, -1.024, 1.299, -0.613]","[2.459, -6.617, 4.956, 2.29, -5.445, 1.22, 8.607, -3.425, -7.179]",Walking Upstairs
3,3,"[22.789, 6.0, 35.37, 12.208, -7.498, 49.426, 14.358, 26.305, -14.077]","[-41.478, 0.272, -8.412, -17.448, -12.268, -23.814, 4.889, -21.034, -15.377]","[2.249, -0.221, 3.99, -7.378, -6.851, 13.91, 8.521, -1.807, -1.549]","[-5.384, -1.986, -0.73, 3.683, -2.241, -5.292, 0.204, 3.024, -1.754]","[-1.971, 3.716, 4.519, -0.668, -3.316, -1.389, 1.161, 0.528, -0.302]","[10.12, 0.493, -3.424, -6.584, 3.325, 8.56, 0.913, -7.181, 1.695]",Walking Upstairs
3,4,"[47.824, 23.263, -17.609, 51.838, 31.933, -7.074, 27.572, 22.576, -14.165]","[-20.476, 2.824, -33.632, -22.713, -6.573, -22.248, -36.405, -4.398, -22.155]","[4.008, 4.998, -8.221, 0.012, 4.356, -1.975, -4.281, -2.83, -10.092]","[-3.092, 1.413, 0.429, -1.21, -0.092, -0.305, -1.165, -0.244, -0.007]","[0.176, 1.306, -0.246, -0.923, 0.165, 1.727, -1.679, 2.785, 1.418]","[8.138, -3.67, -6.911, 9.781, -3.517, -5.828, 10.414, -2.3, -6.743]",Walking Upstairs
3,5,"[47.07, 12.869, 21.46, 28.522, -21.671, 43.317, 14.26, 14.516, 4.726]","[-10.421, -23.781, -35.84, -4.137, -38.326, -20.612, 7.454, -23.18, -3.368]","[0.266, -2.138, 2.9, 1.37, -2.969, 1.511, 3.942, 3.075, 0.361]","[-1.589, 0.901, -3.324, 2.481, 0.032, -1.926, 0.006, 2.115, 5.325]","[0.629, -0.962, -2.806, -2.949, 0.513, 1.166, 0.066, 0.866, 1.898]","[6.872, -7.873, 11.05, -3.263, -9.013, 7.589, -1.86, -6.237, 3.659]",Walking Upstairs
3,6,"[8.196, 10.636, 15.697, 0.8, 25.818, 11.408, 10.809, 4.728, 17.74]","[-5.885, -3.43, -0.135, -7.076, -12.079, -2.218, -20.21, -4.326, -0.597]","[-1.961, -0.237, 3.384, -0.319, 1.954, -1.506, -1.525, -1.259, 0.242]","[4.808, 3.539, 0.588, 1.509, -1.684, 0.438, 0.067, 0.264, 0.379]","[-1.019, -0.412, 0.689, 0.196, 0.78, -0.439, 0.596, -1.283, -0.015]","[1.539, 1.27, -2.229, -0.413, 6.69, -1.236, -4.995, 4.432, -0.993]",Walking Upstairs
3,7,"[8.464, 26.068, 13.534, -0.008, 1.109, 44.095, 2.63, 3.609, 19.702]","[-9.768, -1.799, -1.641, -0.3, 0.208, -4.225, -11.657, -5.435, -5.519]","[2.139, -0.182, -0.091, 1.257, 3.832, 21.107, -1.855, -4.926, 5.872]","[-1.202, -1.583, 1.783, 2.268, -1.397, -1.275, -1.055, 1.133, 0.051]","[-1.127, 1.536, -0.949, 2.872, -0.438, -8.096, -0.654, -1.613, 1.078]","[-1.581, 5.219, -3.259, -2.178, 0.687, 6.74, -4.496, 5.537, -4.775]",Walking Upstairs
4,1,"[-1.862, -0.796, -1.455, 1.013, -0.595, 0.126, 0.152, 5.185, 0.023]","[5.15, 5.224, 3.157, 2.947, 5.093, 5.653, 7.15, 6.089, 7.552]","[6.739, 6.162, 4.08, 12.662, 9.762, 8.119, 12.847, 4.022, 1.53]","[0.523, -0.04, 0.37, 0.325, 0.389, 0.293, 0.549, 0.545, 0.531]","[0.232, -0.411, -0.127, 0.469, 0.81, 0.153, -0.796, 0.459, -0.093]","[-0.432, 0.392, 0.374, 0.961, 0.284, 0.158, -0.131, -0.786, -0.402]",Sitting
4,2,"[-0.471, -0.959, -0.638, -0.097, 0.484, -0.605, -0.344, 0.142, -0.202]","[8.764, 7.957, 8.057, 7.952, 8.455, 7.018, 7.569, 7.823, 7.607]","[5.422, 5.465, 5.796, 6.033, 8.057, 6.05, 6.294, 6.287, 6.586]","[-0.204, -0.049, -0.176, -0.042, -0.626, -0.001, 0.041, 0.068, -0.018]","[-0.603, -0.179, -0.096, -0.108, -0.191, 0.032, 0.028, 0.011, 0.119]","[-0.593, -0.073, -0.051, -0.222, 0.022, -0.02, 0.072, 0.144, 0.017]",Sitting
4,3,"[0.142, -0.061, -0.475, -0.054, 0.066, 0.037, 0.095, 0.237, 0.613]","[7.785, 7.9, 7.643, 7.816, 7.904, 7.888, 7.854, 7.696, 8.187]","[6.153, 6.016, 6.478, 6.222, 5.932, 5.987, 6.229, 5.757, 5.69]","[0.028, 0.131, -0.023, -0.001, 0.007, 0.023, -0.06, -0.004, 0.08]","[-0.026, 0.148, 0.001, -0.014, -0.049, -0.041, -0.066, -0.113, -0.009]","[0.027, 0.058, 0.018, -0.019, -0.07, 0.071, 0.029, -0.003, 0.044]",Sitting
4,4,"[-0.234, 0.338, 0.331, 0.006, 0.558, 0.295, 0.357, 0.69, 0.486]","[7.643, 7.856, 8.076, 7.543, 7.717, 7.65, 7.569, 7.706, 7.677]","[6.229, 5.868, 4.653, 7.178, 6.133, 6.105, 6.361, 6.081, 6.356]","[-0.041, 0.045, 0.285, -0.147, -0.132, 0.045, -0.008, 0.016, -0.034]","[-0.005, -0.008, 0.086, 0.005, 0.073, 0.058, -0.015, 0.026, -0.07]","[-0.064, 0.107, 0.095, 0.137, 0.015, -0.013, 0.017, -0.084, -0.014]",Sitting
4,5,"[0.171, 0.819, 0.81, 0.906, 0.217, 0.51, 0.917, 1.068, 1.416]","[7.739, 7.756, 7.78, 7.571, 7.052, 7.056, 7.449, 7.238, 7.423]","[6.093, 6.715, 7.005, 6.509, 7.204, 7.008, 6.907, 6.768, 6.833]","[0.027, 0.041, -0.092, 0.038, -0.428, -0.125, 0.078, 0.067, 0.019]","[0.064, 0.072, 0.021, -0.025, 0.003, -0.041, 0.018, 0.012, 0.013]","[-0.065, -0.038, 0.033, 0.1, -0.091, -0.054, 0.087, -0.003, -0.06]",Sitting
4,6,"[0.335, 1.265, 0.4, 0.819, 0.176, -0.075, 0.762, 0.894, 0.865]","[7.136, 7.509, 7.246, 7.31, 7.459, 6.803, 7.286, 7.1, 7.126]","[7.032, 6.72, 6.584, 6.677, 5.616, 7.221, 7.051, 7.633, 6.888]","[0.024, 0.11, 0.015, -0.336, -0.043, -0.041, -0.01, -0.089, -0.077]","[0.077, 0.058, 0.08, 0.016, 0.004, 0.132, -0.014, -0.077, -0.035]","[0.089, 0.149, 0.047, -0.213, -0.173, -0.064, 0.006, 0.036, -0.041]",Sitting
4,7,"[0.259, 0.688, 1.08, 0.467, 0.477, 1.186, 0.491, 0.891, -0.116]","[6.767, 6.942, 7.085, 6.824, 6.745, 7.124, 6.848, 7.021, 7.904]","[7.357, 7.338, 7.558, 7.376, 7.412, 7.017, 7.214, 7.072, 5.425]","[-0.054, -0.014, -0.022, -0.017, -0.087, 0.061, 0.024, 0.039, -0.473]","[-0.071, -0.029, -0.014, 0.204, 0.006, -0.001, 0.015, 0.019, 0.134]","[0.027, 0.016, 0.038, 0.048, -0.023, 0.017, -0.039, -0.003, -0.162]",Sitting
4,1,"[-1.453, -1.031, -0.095, -1.46, 25.795, 8.668, 16.07, 9.554, 2.067]","[6.455, 6.269, 6.072, -0.386, -19.901, -1.213, -5.033, -11.942, -3.222]","[7.036, 6.878, 6.79, -0.505, 3.171, 1.846, 2.85, 1.652, -1.122]","[0.298, 0.045, -1.226, 1.05, -2.842, -0.512, 0.64, 2.305, 0.391]","[-0.025, 0.004, -3.011, -1.435, -1.186, 1.17, -0.206, -0.657, -0.08]","[0.027, -0.023, 2.195, 0.174, 6.994, 0.374, -1.869, -3.784, -0.439]",Walking
4,2,"[14.296, 10.572, 15.177, 15.053, 1.928, 6.184, 14.655, 13.364, 11.185]","[-14.136, -4.784, -3.603, -12.903, -4.008, -8.184, -5.092, -3.052, -10.168]","[3.053, 1.3, 2.486, 1.755, -0.711, 1.858, 5.207, 1.964, 3.425]","[-4.242, -0.38, 0.291, 2.813, 0.113, -2.178, -2.048, 0.056, 2.507]","[1.53, 0.302, 0.454, -2.811, -0.58, 0.334, 1.364, -0.013, -1.818]","[4.504, 1.225, -1.004, -3.319, -1.407, 3.357, 2.395, -0.326, -2.772]",Walking
4,3,"[6.28, 3.959, 15.599, 9.19, 13.63, 10.447, 1.214, 14.366, 9.928]","[-5.777, -5.16, -11.231, -4.151, -8.158, -11.578, -5.768, -12.036, -5.277]","[1.269, -0.086, 1.183, 1.197, 5.429, 3.219, 1.267, -0.732, 0.476]","[0.402, -0.454, -1.212, 0.421, 0.911, 0.201, 0.008, -0.8, 0.284]","[-0.612, 1.835, -0.588, -0.963, -2.237, -0.063, 0.425, 1.118, -0.043]","[-1.884, 0.824, 4.13, 0.616, -1.551, -3.908, -0.698, 5.104, 1.22]",Walking
4,4,"[13.405, 10.222, 3.578, 8.419, 11.635, 10.225, 11.338, 7.037, 0.934]","[-7.097, -11.035, -5.598, -11.928, -6.046, -4.669, -7.361, -8.223, -5.639]","[3.465, 1.511, 1.463, -0.95, 1.413, 1.37, 3.08, 1.396, 0.06]","[-0.121, 1.728, -0.077, -1.381, 0.871, -0.527, 1.224, 0.98, -0.591]","[-0.894, -2.264, 0.616, 1.093, 0.457, 0.111, -1.349, -0.774, 0.721]","[-1.028, -2.69, -1.826, 3.58, 1.27, 0.292, -1.614, -2.51, -0.104]",Walking
4,5,"[14.054, 6.467, 14.401, 9.69, 3.744, 9.532, 9.396, 13.846, 12.981]","[-13.736, -5.483, -6.707, -11.47, -4.333, -12.955, -4.81, -4.525, -11.396]","[2.637, 1.626, 3.303, 1.705, 1.288, 1.274, 0.972, 4.716, 1.98]","[-1.683, -0.97, 0.136, 2.106, 0.325, -2.068, -0.288, 0.061, 2.241]","[0.516, 1.137, 0.267, -1.783, -0.026, 1.597, 1.251, -0.257, -2.213]","[5.044, 0.43, -1.486, -3.007, -0.779, 3.75, 0.44, -0.142, -3.032]",Walking
4,6,"[4.199, 4.175, 16.691, 10.981, 13.245, 7.473, 1.447, 17.649, 6.831]","[-5.67, -9.586, -5.437, -3.802, -8.354, -7.028, -6.747, -8.671, -5.274]","[0.594, 0.999, 6.174, 3.518, 2.174, 1.279, 0.764, 4.294, 1.034]","[0.911, -1.42, -1.259, -0.671, 2.145, 0.803, -0.738, -2.367, -0.838]","[-0.573, 0.912, 0.49, -0.147, -1.599, -1.282, 1.629, -0.396, 0.457]","[-1.856, 2.611, 2.001, 0.788, -1.625, -1.594, -0.495, 3.923, 1.231]",Walking
4,7,"[12.641, 8.713, 3.547, 9.267, 8.89, 14.255, 11.542, 4.975, 4.352]","[-7.476, -10.987, -4.532, -13.856, -5.2, -5.375, -12.426, -5.591, -6.941]","[3.25, 1.7, 0.541, 2.828, 0.991, 2.984, 3.362, 1.305, -0.221]","[0.641, 1.705, 0.121, -2.97, -0.331, -0.056, 2.158, 0.886, -0.849]","[-0.233, -1.969, 0.274, 1.468, 1.727, 0.262, -2.192, -0.584, 1.028]","[-1.568, -2.624, -1.18, 3.664, 0.702, -0.676, -3.242, -1.644, 1.736]",Walking
4,1,"[-0.348, -0.485, -0.054, 1.523, 19.275, -4.111, 25.704, 18.241, 3.183]","[4.762, 4.788, 4.633, 4.264, 9.566, -8.048, 1.56, 12.318, -19.597]","[8.737, 8.402, 7.125, 3.245, 17.697, -4.928, 9.812, 3.379, 0.11]","[-0.029, 0.105, -0.079, 0.502, 0.763, 1.423, -2.308, 0.804, 1.593]","[-0.007, 0.108, -0.141, -3.51, -0.937, -1.448, -0.823, 0.225, -0.441]","[-0.04, -0.053, 0.048, 0.645, -1.555, 1.099, 1.932, -1.507, -4.49]",Walking Upstairs
4,2,"[23.309, 8.344, 43.386, -9.553, 50.727, 6.261, 33.916, -11.593, 24.846]","[-21.745, 12.505, -6.934, -21.774, -32.689, 9.475, -30.556, -18.442, 4.808]","[-1.395, 4.213, 7.075, -3.106, 2.886, 6.339, 3.667, -2.385, 6.488]","[-3.638, 0.976, 1.025, 1.541, -2.667, -0.959, 2.923, -1.026, -2.838]","[0.039, -0.181, 1.702, -0.994, 0.263, 0.753, -0.054, -1.807, -0.313]","[8.168, 0.797, -5.661, -0.019, 10.201, 0.031, -7.69, -1.962, 2.806]",Walking Upstairs
4,3,"[5.727, 22.892, 3.722, 12.169, 18.662, 13.661, 9.714, 20.097, 6.577]","[0.227, 2.662, -2.669, -12.778, -5.986, 5.243, -20.885, -24.008, 15.964]","[-1.149, 1.777, -2.255, -0.696, 4.193, 1.597, -1.386, -1.872, 7.946]","[-1.819, -1.895, -0.449, -2.796, -1.537, 0.424, 4.956, -4.355, -0.982]","[0.358, 0.399, -0.671, -1.725, -0.304, 1.733, -0.959, 0.606, 0.272]","[0.015, -0.295, -2.21, 3.721, 2.339, -0.287, -5.809, 6.511, 1.116]",Walking Upstairs
4,4,"[42.303, -14.376, 35.226, 16.49, 7.291, -7.486, 23.237, 9.568, 9.262]","[-10.967, -24.188, -4.314, 7.65, -7.998, -10.22, -7.955, -4.592, -2.623]","[10.904, -7.735, 9.295, 4.249, 0.948, -5.314, 9.831, 4.004, -2.773]","[2.207, 1.061, -2.225, -0.007, 1.376, -0.012, -4.515, -1.988, -0.859]","[2.575, 0.395, 1.1, 0.337, -0.336, -0.804, 1.397, 2.16, 0.017]","[-3.931, -0.956, 3.172, -1.426, -3.389, 1.864, 4.254, 0.2, -0.235]",Walking Upstairs
4,5,"[12.143, 9.769, 5.76, 6.194, 20.688, -16.953, 26.101, 29.052, -6.643]","[-3.193, -3.404, -4.532, -5.483, -3.102, -14.689, 8.012, -10.0, -7.461]","[-0.031, 0.208, -1.63, 5.719, 0.922, -0.517, 6.668, 5.453, -2.521]","[0.217, 0.587, -1.151, -1.814, 1.732, -1.993, 0.629, -1.911, 1.225]","[0.168, -0.294, -0.326, 1.808, -0.933, -1.172, 0.188, 0.299, 0.567]","[0.094, -0.434, -0.011, 2.12, -3.98, 0.72, 3.64, -4.312, -2.049]",Walking Upstairs
4,6,"[27.014, -0.533, 23.742, 4.836, 13.134, 29.145, -1.424, 8.249, 14.962]","[-21.003, 6.724, -34.75, -18.617, 2.35, -15.712, -9.916, -14.196, -0.635]","[2.347, 2.464, 6.172, 10.169, 3.092, 5.923, 5.726, -2.859, 2.27]","[-2.444, -0.818, 4.561, -0.901, -2.436, 1.582, 1.888, -1.581, -0.121]","[-0.629, 1.838, 0.049, 2.33, 2.909, -3.194, -1.088, 1.475, -0.345]","[7.452, -2.67, -8.01, 4.849, 1.971, -5.321, -3.035, 4.6, 1.107]",Walking Upstairs
4,7,"[14.77, 4.637, 6.048, 13.3, 15.973, -4.382, 20.947, 36.088, -10.695]","[-11.2, -12.345, -8.031, -0.786, -17.278, -10.175, -18.047, -1.771, -18.131]","[-1.544, 3.604, 1.456, -1.774, 8.368, 0.603, 2.357, 2.165, -4.931]","[5.546, -1.243, -1.271, -0.769, 0.85, 0.162, -2.463, 0.588, -0.522]","[-5.659, -1.037, 3.123, 0.606, -0.541, -0.637, -0.008, -1.589, -1.373]","[-1.062, -3.728, 2.641, 1.159, -5.131, -1.86, 6.424, -1.45, -2.742]",Walking Upstairs
5,1,"[-2.118, -1.68, -2.138, -2.284, -3.052, -3.244, -2.502, -3.431, -3.658]","[6.726, 6.328, 7.049, 6.628, 6.23, 6.477, 6.616, 6.34, 6.46]","[7.125, 7.47, 7.503, 6.785, 6.227, 6.974, 5.978, 7.252, 6.117]","[-0.094, -0.184, -0.044, -0.025, -0.033, 0.069, 0.053, -0.176, 0.025]","[-0.723, 0.377, -0.066, 0.05, 0.235, -0.018, 0.11, 0.085, 0.127]","[-0.747, -0.082, -0.135, -0.164, -0.358, -0.03, 0.027, -0.21, 0.066]",Sitting
5,2,"[-2.938, -3.311, -2.803, -2.399, -2.782, -3.967, -2.997, -2.15, -0.047]","[6.324, 6.357, 6.879, 6.858, 6.271, 6.58, 6.118, 7.207, 4.954]","[6.323, 6.766, 6.217, 6.725, 6.703, 6.701, 7.01, 8.909, 8.172]","[-0.088, -0.04, -0.081, -0.085, -0.102, -0.346, -0.407, 0.36, 0.607]","[0.102, 0.052, -0.072, -0.106, -0.042, 0.243, 0.017, -0.27, -0.158]","[-0.168, 0.03, 0.077, 0.092, 0.148, 0.244, 0.421, 0.179, -0.074]",Sitting
5,3,"[0.018, -0.313, -1.007, -1.007, -1.206, -0.95, -1.283, -1.412, -1.101]","[6.144, 7.291, 6.982, 7.083, 7.217, 7.349, 7.535, 7.449, 7.219]","[6.943, 7.0, 6.85, 6.876, 6.909, 6.435, 6.404, 6.344, 6.112]","[0.159, 0.206, -0.058, -0.023, -0.054, 0.026, 0.087, -0.01, -0.032]","[-0.103, 0.185, 0.115, 0.141, 0.048, -0.067, -0.041, -0.047, -0.155]","[0.041, 0.317, 0.101, -0.043, -0.002, -0.108, -0.127, -0.064, 0.045]",Sitting
5,4,"[-0.971, -1.096, -1.776, -1.529, -1.503, -1.769, -2.078, -2.138, -1.96]","[7.49, 7.471, 7.136, 7.509, 7.538, 7.526, 7.389, 7.229, 7.483]","[6.967, 6.565, 6.699, 6.308, 6.33, 5.954, 5.856, 6.562, 6.325]","[0.051, 0.073, 0.089, 0.068, 0.126, 0.177, 0.077, -0.185, -0.319]","[-0.203, -0.303, -0.115, -0.165, -0.26, -0.32, -0.23, -0.038, 0.025]","[-0.11, -0.166, -0.179, -0.135, -0.252, -0.287, -0.289, -0.067, 0.129]",Sitting
5,5,"[-2.346, -2.114, -1.716, -1.932, -1.819, -2.027, -2.14, -1.527, -1.965]","[6.704, 7.318, 7.325, 7.078, 7.258, 7.27, 6.807, 7.277, 7.044]","[6.979, 6.457, 6.294, 6.682, 6.706, 6.349, 6.339, 6.818, 6.761]","[-0.179, 0.049, 0.117, -0.08, -0.062, 0.031, -0.062, -0.076, -0.029]","[-0.091, -0.011, -0.051, -0.047, -0.066, 0.054, -0.042, 0.012, -0.024]","[0.042, -0.017, 0.084, -0.101, -0.021, -0.021, 0.052, 0.007, -0.003]",Sitting
