iteration_number,acc_x_vals,acc_y_vals,acc_z_vals,gyro_x_vals,gyro_y_vals,gyro_z_vals,activity_name,timestamp
1,5.993,-3.557,0.929,0.395,-0.162,-0.509,Walking,1665775692274
1,4.670,-6.412,-0.943,-0.927,0.722,1.412,Walking,1665775692509
1,13.204,-9.344,3.509,-3.128,2.262,1.832,Walking,1665775692747
1,13.221,-1.217,1.296,0.398,-0.908,0.217,Walking,1665775692986
1,13.963,-9.619,1.008,1.544,-1.552,-2.617,Walking,1665775693226
1,5.983,-7.255,1.202,0.338,0.118,-2.288,Walking,1665775693462
1,2.030,-5.571,-0.010,-0.388,0.455,1.006,Walking,1665775693702
1,15.688,-9.940,2.776,-1.744,0.281,3.721,Walking,1665775693939
1,11.520,-3.392,0.167,-0.753,0.134,1.112,Walking,1665775694176
1,12.993,-8.776,0.247,1.052,-0.332,-1.434,Walking,1665775694415
1,8.416,-10.206,0.237,1.133,-0.075,-3.348,Walking,1665775694653
1,1.864,-4.894,0.155,-0.278,0.303,-0.269,Walking,1665775694894
1,17.345,-11.149,3.168,-0.745,-1.102,4.456,Walking,1665775695130
1,9.513,-3.370,1.034,-0.404,0.323,1.235,Walking,1665775695368
1,13.889,-5.936,2.459,-0.057,0.489,-2.131,Walking,1665775695610
1,11.879,-8.704,2.448,0.423,3.012,-2.960,Walking,1665775695845
1,3.346,-1.739,2.651,0.953,1.970,-0.849,Walking,1665775696083
1,3.990,-0.571,8.284,-1.594,-0.707,0.241,Walking,1665775696323
1,8.819,-0.602,10.313,-1.914,-2.075,0.880,Walking,1665775696560
1,10.098,-2.230,12.600,1.738,0.548,-0.799,Walking,1665775696799
1,3.832,-3.332,2.845,1.649,-0.053,0.138,Walking,1665775697038
1,8.723,-10.448,7.834,-3.831,-1.504,0.839,Walking,1665775697276
1,13.781,-4.168,3.056,-1.033,-0.730,2.231,Walking,1665775697514
1,15.290,-6.812,4.383,1.216,-0.801,-1.512,Walking,1665775697753
1,7.300,-10.905,2.740,2.032,1.396,-3.133,Walking,1665775697992
1,0.498,-4.178,2.361,-0.711,0.927,-0.985,Walking,1665775698229
1,4.294,-7.171,2.237,-3.551,-0.596,1.304,Walking,1665775698467
1,13.228,-3.066,9.168,0.112,0.531,0.288,Walking,1665775698705
1,6.869,-8.697,6.426,3.354,1.912,-2.682,Walking,1665775698945
1,2.697,-5.121,3.858,0.207,0.779,-0.885,Walking,1665775699181
1,4.615,-4.496,4.843,-2.225,-1.129,1.987,Walking,1665775699420
1,16.540,-4.592,12.598,-1.760,-0.556,2.038,Walking,1665775699659
1,13.120,-7.789,10.428,1.864,-2.220,-2.740,Walking,1665775699896
1,4.682,-7.897,2.747,1.928,2.575,-2.151,Walking,1665775700135
1,2.980,-3.768,6.720,-1.709,-0.765,0.423,Walking,1665775700375
1,11.429,-6.867,11.532,-2.393,-3.135,3.050,Walking,1665775700613
1,14.830,-2.348,10.926,1.156,-1.268,-0.901,Walking,1665775700849
1,8.433,-10.402,9.791,2.335,2.664,-2.934,Walking,1665775701087
1,3.885,-3.835,2.783,-0.584,-0.080,-1.306,Walking,1665775701328
1,2.493,-2.535,4.862,-2.157,-2.259,0.875,Walking,1665775701564
1,21.242,-1.280,11.458,-0.185,-2.016,2.088,Walking,1665775701801
1,9.942,-6.146,4.962,2.094,-1.145,-2.593,Walking,1665775702043
1,0.702,-9.142,1.578,-2.211,0.731,-0.635,Walking,1665775702279
1,11.762,-6.575,2.792,-1.199,-1.004,3.116,Walking,1665775702519
1,15.522,-3.323,6.090,0.395,-1.000,-0.781,Walking,1665775702757
